run_id,task,input_id,depth,condition,paraphrase_idx,position,position_idx,divergence,out_len,base_len,len_ratio,schema_violation,judge_score,base_judge_score,agent_model,backend,embedder
summarization|sum_0|d4|p0|middle,summarization,sum_0,4,perturbed,0,middle,2,0.0011792182922363,619,619,1.0,,9,8,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_0|d4|p0|last,summarization,sum_0,4,perturbed,0,last,3,1.1920928955078125e-07,619,619,1.0,,8,8,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_0|d4|p2|middle,summarization,sum_0,4,perturbed,2,middle,2,0.000270128250122,618,619,0.9983844911147012,,8,8,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_0|d4|p1|middle,summarization,sum_0,4,perturbed,1,middle,2,0.0022244453430175,606,619,0.9789983844911146,,8,8,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_0|d4|p1|last,summarization,sum_0,4,perturbed,1,last,3,0.001952052116394,633,619,1.0226171243941842,,8,8,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_1|d4|p0|first,summarization,sum_1,4,perturbed,0,first,0,0.1193845272064209,579,572,1.0122377622377623,,4,7,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_1|d4|p1|first,summarization,sum_1,4,perturbed,1,first,0,0.0735975503921508,594,572,1.0384615384615383,,8,7,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_1|d4|p2|first,summarization,sum_1,4,perturbed,2,first,0,0.0566873550415039,588,572,1.027972027972028,,9,7,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_1|d4|p0|middle,summarization,sum_1,4,perturbed,0,middle,2,1.788139343261719e-07,572,572,1.0,,7,7,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_1|d4|p1|middle,summarization,sum_1,4,perturbed,1,middle,2,0.0358209609985351,584,572,1.020979020979021,,8,7,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_0|d4|p2|last,summarization,sum_0,4,perturbed,2,last,3,0.000270128250122,618,619,0.9983844911147012,,8,8,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_1|d4|p0|last,summarization,sum_1,4,perturbed,0,last,3,0.0223361849784851,577,572,1.0087412587412588,,9,7,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_1|d4|p2|last,summarization,sum_1,4,perturbed,2,last,3,0.0226585268974304,577,572,1.0087412587412588,,9,7,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
